flow_id,source,destination,direction,protocol,port,exposure,tls_required_when_public,manifests,justification
"flow-caddy-http-local","client_host","caddy_proxy","ingress","tcp","80","localhost","false","demo/docker-compose.tls.yml:services.caddy.ports","HTTP port for ACME challenge and redirect (localhost by default, public in production) "
"flow-caddy-http-public","client_host","caddy_proxy","ingress","tcp","80","optional_public","false","demo/docker-compose.tls.yml:services.caddy.ports","HTTP port for ACME challenge (public in production with automatic redirect to HTTPS) "
"flow-caddy-https-local","client_host","caddy_proxy","ingress","tcp","443","localhost","true","demo/docker-compose.tls.yml:services.caddy.ports","HTTPS port for secure gateway access (localhost by default) "
"flow-caddy-https-public","client_host","caddy_proxy","ingress","tcp","443","public","true","demo/docker-compose.tls.yml:services.caddy.ports","HTTPS port for secure gateway access (public in production deployments) "
"flow-caddy-litellm-backend","caddy_proxy","litellm_gateway","egress","tcp","4000","internal_only","false","demo/docker-compose.tls.yml:services.caddy.depends_on","Caddy reverse proxy to LiteLLM backend (internal Docker network) "
"flow-helm-ingress-http","external_client","litellm_gateway","ingress","tcp","80","optional_public","false","deploy/helm/ai-control-plane/values.yaml:ingress","Kubernetes ingress HTTP endpoint (optional, redirects to HTTPS when TLS enabled) "
"flow-helm-ingress-https","external_client","litellm_gateway","ingress","tcp","443","optional_public","true","deploy/helm/ai-control-plane/values.yaml:ingress.tls","Kubernetes ingress HTTPS endpoint (optional, for production TLS termination) "
"flow-librechat-litellm","librechat","litellm_gateway","egress","tcp","4000","internal_only","false","demo/docker-compose.yml:services.librechat.depends_on","LibreChat connects to LiteLLM gateway for LLM API access (internal Docker network) "
"flow-librechat-local","client_host","librechat","ingress","tcp","3080","localhost","true","demo/docker-compose.yml:services.librechat.ports","LibreChat web UI (standard package, localhost by default for security) "
"flow-librechat-meilisearch","librechat","librechat_meilisearch","egress","tcp","7700","internal_only","false","demo/docker-compose.yml:services.librechat.environment","LibreChat internal Meilisearch connectivity for chat search functionality "
"flow-librechat-mongodb","librechat","librechat_mongodb","egress","tcp","27017","internal_only","false","demo/docker-compose.yml:services.librechat.environment","LibreChat internal MongoDB connectivity for session/chat storage "
"flow-litellm-http-local","client_host","litellm_gateway","ingress","tcp","4000","localhost","true","demo/docker-compose.yml:services.litellm.ports","Gateway API access for clients and health endpoints (localhost binding default for security) "
"flow-litellm-http-public-tls","client_host","litellm_gateway","ingress","tcp","4000","public","true","demo/docker-compose.tls.yml:services.litellm.ports","Gateway API access in TLS mode (public exposure via Caddy TLS termination) "
"flow-litellm-internal-helm","ingress_controller","litellm_gateway","ingress","tcp","4000","internal_only","true","deploy/helm/ai-control-plane/values.yaml:litellm.service","Kubernetes ClusterIP service for internal cluster access (ingress handles external traffic) "
